Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Chen, C., Gao, L., Xie, X., Wang, Z.","56215995200;57211897547;57202850499;56086598300;","Enjoy the most beautiful scene now: a memetic algorithm to solve two-fold time-dependent arc orienteering problem",2020,"Frontiers of Computer Science","14","2",,"364","377",,,"10.1007/s11704-019-8364-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071482110&doi=10.1007%2fs11704-019-8364-1&partnerID=40&md5=3d852f9581f305aa37072b8560f58eea",Article,"Final",,Scopus,2-s2.0-85071482110
"Zhao, D., Thakur, N., Chen, J.","55295888300;57212199805;56044368500;","Optimal Design of Energy Storage System to Buffer Charging Infrastructure in Smart Cities",2020,"Journal of Management in Engineering","36","2", 04019048,"","",,,"10.1061/(ASCE)ME.1943-5479.0000742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076135063&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000742&partnerID=40&md5=633e857c67b576fbe6e2b7c48b4003e4",Article,"Final",,Scopus,2-s2.0-85076135063
"Thakuriah, P.V., Sila-Nowicka, K., Hong, J., Boididou, C., Osborne, M., Lido, C., McHugh, A.","6602676523;56928301700;55548681100;57191409236;26638880400;23991365500;14054563100;","Integrated Multimedia City Data (iMCD): A composite survey and sensing approach to understanding urban living and mobility",2020,"Computers, Environment and Urban Systems","80",, 101427,"","",,,"10.1016/j.compenvurbsys.2019.101427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075629092&doi=10.1016%2fj.compenvurbsys.2019.101427&partnerID=40&md5=7c109f4e3f4e80c0b5e44f863443acd9",Article,"Final",Open Access,Scopus,2-s2.0-85075629092
"Francisco, A., Mohammadi, N., Taylor, J.E.","57200534859;56704718500;55741147200;","Smart City Digital Twin-Enabled Energy Management: Toward Real-Time Urban Building Energy Benchmarking",2020,"Journal of Management in Engineering","36","2", 04019045,"","",,,"10.1061/(ASCE)ME.1943-5479.0000741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075830608&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000741&partnerID=40&md5=e78facc40a0f8731f14f999081beb078",Article,"Final",,Scopus,2-s2.0-85075830608
"Ruhlandt, R.W.S., Levitt, R., Jain, R., Hall, D.","57202603541;7102848199;54968992700;57202684927;","Drivers of Data and Analytics Utilization within (Smart) Cities: A Multimethod Approach",2020,"Journal of Management in Engineering","36","2", 04019050,"","",,,"10.1061/(ASCE)ME.1943-5479.0000762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076358985&doi=10.1061%2f%28ASCE%29ME.1943-5479.0000762&partnerID=40&md5=4f764e7a9d2e8cd1aaa1c09a97341014",Article,"Final",,Scopus,2-s2.0-85076358985
"Naha, R.K., Garg, S., Chan, A., Battula, S.K.","56841650300;55365934100;28767455500;57210022033;","Deadline-based dynamic resource allocation and provisioning algorithms in Fog-Cloud environment",2020,"Future Generation Computer Systems","104",,,"131","141",,,"10.1016/j.future.2019.10.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074235940&doi=10.1016%2fj.future.2019.10.018&partnerID=40&md5=ecac705bba99c5266ebd71f01e137dbe",Article,"Final",,Scopus,2-s2.0-85074235940
"Balta, M., Özçeli̇k, İ.","56040056900;6603220008;","A 3-stage fuzzy-decision tree model for traffic signal optimization in urban city via a SDN based VANET architecture",2020,"Future Generation Computer Systems","104",,,"142","158",,,"10.1016/j.future.2019.10.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074372624&doi=10.1016%2fj.future.2019.10.020&partnerID=40&md5=51f5dd994e50fe7560098dd873f2e586",Article,"Final",,Scopus,2-s2.0-85074372624
"Huang, L., Zhai, C., Wang, H., Zhang, R., Qiu, Z., Wu, J.","55571085500;57212227875;36130681900;7404864225;16679374500;57211842273;","Cooperative Adaptive Cruise Control and exhaust emission evaluation under heterogeneous connected vehicle network environment in urban city",2020,"Journal of Environmental Management","256",, 109975,"","",,,"10.1016/j.jenvman.2019.109975","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076255928&doi=10.1016%2fj.jenvman.2019.109975&partnerID=40&md5=23215aaacff0a45f886913bb1800c29b",Article,"Final",,Scopus,2-s2.0-85076255928
"Deveci, M., Pekaslan, D., Canıtez, F.","55734383000;57204350376;57201323952;","The assessment of smart city projects using zSlice type-2 fuzzy sets based Interval Agreement Method",2020,"Sustainable Cities and Society","53",, 101889,"","",,,"10.1016/j.scs.2019.101889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075324062&doi=10.1016%2fj.scs.2019.101889&partnerID=40&md5=faf5bd9cda3cf072b49f0697e27a51a7",Article,"Final",,Scopus,2-s2.0-85075324062
"Nicolas, C., Kim, J., Chi, S.","57211907649;57194707212;15073984400;","Quantifying the dynamic effects of smart city development enablers using structural equation modeling",2020,"Sustainable Cities and Society","53",, 101916,"","",,,"10.1016/j.scs.2019.101916","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075300622&doi=10.1016%2fj.scs.2019.101916&partnerID=40&md5=5f9c691dee3ddf3e8e5d7c010e6798b3",Article,"Final",,Scopus,2-s2.0-85075300622
"Woods, O.","55248091600;","Subverting the logics of “smartness” in Singapore: Smart eldercare and parallel regimes of sustainability",2020,"Sustainable Cities and Society","53",, 101940,"","",,,"10.1016/j.scs.2019.101940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074775329&doi=10.1016%2fj.scs.2019.101940&partnerID=40&md5=71f8bdebe43cd36f5631614ccb7569a6",Article,"Final",,Scopus,2-s2.0-85074775329
"Sharifi, A.","55203967900;","A typology of smart city assessment tools and indicator sets",2020,"Sustainable Cities and Society","53",, 101936,"","",,,"10.1016/j.scs.2019.101936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075444016&doi=10.1016%2fj.scs.2019.101936&partnerID=40&md5=681aa892f7282d6c9eb14c2f53568a58",Article,"Final",,Scopus,2-s2.0-85075444016
"Celesti, A., Lay-Ekuakille, A., Wan, J., Fazio, M., Celesti, F., Romano, A., Bramanti, P., Villari, M.","36166437800;6602987304;24333732700;7103169882;57191038144;57190871275;7005112597;12645423500;","Information management in IoT cloud-based tele-rehabilitation as a service for smart cities: Comparison of NoSQL approaches",2020,"Measurement: Journal of the International Measurement Confederation","151",, 107218,"","",,,"10.1016/j.measurement.2019.107218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075184948&doi=10.1016%2fj.measurement.2019.107218&partnerID=40&md5=c5d93175305f7f948e64305b8ad518d8",Article,"Final",,Scopus,2-s2.0-85075184948
"Cellina, F., Castri, R., Simão, J.V., Granato, P.","24174004400;57202418666;57209209964;57211458584;","Co-creating app-based policy measures for mobility behavior change: A trigger for novel governance practices at the urban level",2020,"Sustainable Cities and Society","53",, 101911,"","",,,"10.1016/j.scs.2019.101911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074015253&doi=10.1016%2fj.scs.2019.101911&partnerID=40&md5=92c8c4e14e4425489dc0b349466e6c06",Article,"Final",,Scopus,2-s2.0-85074015253
"Fabbiano, L., Vacca, G., Dinardo, G.","21933278800;7101772666;55822411300;","Smart water grid: A smart methodology to detect leaks in water distribution networks",2020,"Measurement: Journal of the International Measurement Confederation","151",, 107260,"","",,,"10.1016/j.measurement.2019.107260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075927295&doi=10.1016%2fj.measurement.2019.107260&partnerID=40&md5=b47bccecc8294fc79e570aedb1346156",Article,"Final",,Scopus,2-s2.0-85075927295
"Zanoletti, A., Bilo, F., Federici, S., Borgese, L., Depero, L.E., Ponti, J., Valsesia, A., La Spina, R., Segata, M., Montini, T., Bontempi, E.","57191419139;55232160800;35181237500;23491432800;7006791911;6506875213;6507737306;57193579053;56399237100;57208479381;7004176714;","The first material made for air pollution control able to sequestrate fine and ultrafine air particulate matter",2020,"Sustainable Cities and Society","53",, 101961,"","",,,"10.1016/j.scs.2019.101961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075272365&doi=10.1016%2fj.scs.2019.101961&partnerID=40&md5=449374fc0baee98d9496a99b31246261",Article,"Final",,Scopus,2-s2.0-85075272365
"Shen, Y., Ta, N., Chai, Y.","55728131900;56973882000;24075228500;","The Internet and the space–time flexibility of daily activities: A case study of Beijing, China",2020,"Cities","97",, 102493,"","",,,"10.1016/j.cities.2019.102493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075530414&doi=10.1016%2fj.cities.2019.102493&partnerID=40&md5=b7825fd141faad6c6c341e00d5aa17fd",Article,"Final",,Scopus,2-s2.0-85075530414
"Mei, Q., Gül, M., Azim, M.R.","55818709200;22940711700;57203927510;","Densely connected deep neural network considering connectivity of pixels for automatic crack detection",2020,"Automation in Construction","110",, 103018,"","",,,"10.1016/j.autcon.2019.103018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075363064&doi=10.1016%2fj.autcon.2019.103018&partnerID=40&md5=d7e8ab1e89cf7c0289a7cfcbdddf0544",Article,"Final",,Scopus,2-s2.0-85075363064
"Singh, M., Leena, G.","57202532828;35114925400;","Forecasting of waste-to-energy system: A case study of Faridabad, India",2020,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects","42","3",,"319","328",,,"10.1080/15567036.2019.1587078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062800434&doi=10.1080%2f15567036.2019.1587078&partnerID=40&md5=2dd836364ad3773b352b62b33046f446",Article,"Final",,Scopus,2-s2.0-85062800434
"Kuster, C., Hippolyte, J.-L., Rezgui, Y.","57193789407;19638523800;6701829347;","The UDSA ontology: An ontology to support real time urban sustainability assessment",2020,"Advances in Engineering Software","140",, 102731,"","",,,"10.1016/j.advengsoft.2019.102731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074789238&doi=10.1016%2fj.advengsoft.2019.102731&partnerID=40&md5=0e36e577c2d47d7acbfd851439947509",Article,"Final",,Scopus,2-s2.0-85074789238
"Mouapi, A., Mrad, H., Parsad, A.","56888766300;54929907800;57209821072;","Implementation of a reliability test protocol for a multimeasurement sensor dedicated to industrial applications of the Internet of things",2020,"Measurement: Journal of the International Measurement Confederation","152",, 107312,"","",,,"10.1016/j.measurement.2019.107312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076241002&doi=10.1016%2fj.measurement.2019.107312&partnerID=40&md5=381d0fe1c62497ef9b4c2ef813bca91f",Article,"Final",,Scopus,2-s2.0-85076241002
"Jiang, D.","36992258400;","The construction of smart city information system based on the Internet of Things and cloud computing",2020,"Computer Communications","150",,,"158","166",,,"10.1016/j.comcom.2019.10.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075382884&doi=10.1016%2fj.comcom.2019.10.035&partnerID=40&md5=6609d974191f1f527a69997f59d08950",Article,"Final",,Scopus,2-s2.0-85075382884
"Meenaakshi Sundhari, R.P., Jaikumar, K.","56156584500;55661903900;","IoT assisted Hierarchical Computation Strategic Making (HCSM) and Dynamic Stochastic Optimization Technique (DSOT) for energy optimization in wireless sensor networks for smart city monitoring",2020,"Computer Communications","150",,,"226","234",,,"10.1016/j.comcom.2019.11.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075566667&doi=10.1016%2fj.comcom.2019.11.032&partnerID=40&md5=dcb682852b861ab5c45d6b2af2b7c7f6",Article,"Final",,Scopus,2-s2.0-85075566667
"Liu, Y., Zhang, W., Pan, S., Li, Y., Chen, Y.","57212145747;57212139952;57212144435;57212152466;57212152542;","Analyzing the robotic behavior in a smart city with deep enforcement and imitation learning using IoRT",2020,"Computer Communications","150",,,"346","356",,,"10.1016/j.comcom.2019.11.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076049365&doi=10.1016%2fj.comcom.2019.11.031&partnerID=40&md5=c0f2575a6afb483425c63cdace9e3d02",Article,"Final",,Scopus,2-s2.0-85076049365
"de Matos, E., Tiburski, R.T., Moratelli, C.R., Johann Filho, S., Amaral, L.A., Ramachandran, G., Krishnamachari, B., Hessel, F.","57035245600;57035307900;15060329300;24722782600;35761087300;55600680300;7004879601;13613076500;","Context information sharing for the Internet of Things: A survey",2020,"Computer Networks","166",, 106988,"","",,,"10.1016/j.comnet.2019.106988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074928136&doi=10.1016%2fj.comnet.2019.106988&partnerID=40&md5=be4ab364066f7f847ff6990445659879",Article,"Final",,Scopus,2-s2.0-85074928136
"Wazid, M., Das, A.K., Bhat K, V., Vasilakos, A.V.","55480987400;55450732800;26423526100;22954842600;","LAM-CIoT: Lightweight authentication mechanism in cloud-based IoT environment",2020,"Journal of Network and Computer Applications","150",, 102496,"","",,,"10.1016/j.jnca.2019.102496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075628619&doi=10.1016%2fj.jnca.2019.102496&partnerID=40&md5=88a8ff851186be1aef3ecad40d59f35e",Article,"Final",,Scopus,2-s2.0-85075628619
"Sun, M., Zhang, J.","57211502041;57205025009;","Research on the application of block chain big data platform in the construction of new smart city for low carbon emission and green environment",2020,"Computer Communications","149",,,"332","342",,,"10.1016/j.comcom.2019.10.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074202594&doi=10.1016%2fj.comcom.2019.10.031&partnerID=40&md5=39a606d948bede4cc70349981d4fed52",Article,"Final",,Scopus,2-s2.0-85074202594
"Qin, P., Guo, J.","57205764232;23396678400;","A novel machine natural language mediation for semantic document exchange in smart city",2020,"Future Generation Computer Systems","102",,,"810","826",,,"10.1016/j.future.2019.07.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072564577&doi=10.1016%2fj.future.2019.07.028&partnerID=40&md5=74a31a2b17ea58ab8526278ea55bd45a",Article,"Final",,Scopus,2-s2.0-85072564577
"Edge, S., Boluk, K., Groulx, M., Quick, M.","35304687500;39961097800;55512321200;55111187500;","Exploring diverse lived experiences in the Smart City through Creative Analytic Practice",2020,"Cities","96",, 102478,"","",,,"10.1016/j.cities.2019.102478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074261408&doi=10.1016%2fj.cities.2019.102478&partnerID=40&md5=c0f99adb6c16898ee51e1c847b584d70",Article,"Final",,Scopus,2-s2.0-85074261408
"Khan, F., Rehman, A.U., Jan, M.A.","57188879276;57210246601;55843090400;","A secured and reliable communication scheme in cognitive hybrid ARQ-aided smart city",2020,"Computers and Electrical Engineering","81",, 106502,"","",,,"10.1016/j.compeleceng.2019.106502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074895180&doi=10.1016%2fj.compeleceng.2019.106502&partnerID=40&md5=383fa86eb49cdcfefd7a1ecd872799fe",Article,"Final",,Scopus,2-s2.0-85074895180
"Bina, O., Inch, A., Pereira, L.","6508247952;16417189400;57190120051;","Beyond techno-utopia and its discontents: On the role of utopianism and speculative fiction in shaping alternatives to the smart city imaginary",2020,"Futures","115",, 102475,"","",,,"10.1016/j.futures.2019.102475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074392245&doi=10.1016%2fj.futures.2019.102475&partnerID=40&md5=4a7d8f834cb84d36c401952354f8fb24",Article,"Final",,Scopus,2-s2.0-85074392245
"Gheisari, M., Wang, G., Chen, S.","57196006880;56039387600;36670848600;","An Edge Computing-enhanced Internet of Things Framework for Privacy-preserving in Smart City",2020,"Computers and Electrical Engineering","81",, 106504,"","",,,"10.1016/j.compeleceng.2019.106504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075265106&doi=10.1016%2fj.compeleceng.2019.106504&partnerID=40&md5=e087bcc2b0592ee2fd0da5cca2e49325",Article,"Final",,Scopus,2-s2.0-85075265106
"Chen, Y., Fan, J., Deng, Z., Du, B., Huang, X., Gui, Q.","7601428336;36615051900;55388245300;56452304100;56451814900;57210282364;","PR-KELM: Icing level prediction for transmission lines in smart grid",2020,"Future Generation Computer Systems","102",,,"75","83",,,"10.1016/j.future.2019.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070189609&doi=10.1016%2fj.future.2019.08.002&partnerID=40&md5=1a83fa726f23930c8d3917fa31e23215",Article,"Final",,Scopus,2-s2.0-85070189609
"Chen, W., Xiao, S., Liu, L., Jiang, X., Tang, Z.","56122378800;57208026795;57203845075;23967612000;57211666841;","A DDoS attacks traceback scheme for SDN-based smart city",2020,"Computers and Electrical Engineering","81",, 106503,"","",,,"10.1016/j.compeleceng.2019.106503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074772471&doi=10.1016%2fj.compeleceng.2019.106503&partnerID=40&md5=1f4a2ac56de7cd6e613e8f0a0aefd3c6",Article,"Final",,Scopus,2-s2.0-85074772471
"Yang, W., Lam, P.T.I.","57205211676;7202366008;","An experimental contingent valuation of users’ attitudes towards a Crowd Management System",2020,"Safety Science","121",,,"231","239",,,"10.1016/j.ssci.2019.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072289293&doi=10.1016%2fj.ssci.2019.09.013&partnerID=40&md5=108eca726cceb2bcd5658091468b2862",Article,"Final",,Scopus,2-s2.0-85072289293
"Makhdoom, I., Zhou, I., Abolhasan, M., Lipman, J., Ni, W.","56493097800;57211229768;7801527582;8605294200;35956974500;","PrivySharing: A blockchain-based framework for privacy-preserving and secure data sharing in smart cities",2020,"Computers and Security","88",, 101653,"","",,,"10.1016/j.cose.2019.101653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074150487&doi=10.1016%2fj.cose.2019.101653&partnerID=40&md5=e2b5ea708ccdab330f4b4a19f6df596c",Article,"Final",,Scopus,2-s2.0-85074150487
"Amah, T.E., Kamat, M., Abu Bakar, K., Moreira, W., Oliveira, A., Batista, M.A.","57189377116;26221323800;57211080743;23980948400;57190127318;15041745600;","Preparing opportunistic networks for smart cities: Collecting sensed data with minimal knowledge",2020,"Journal of Parallel and Distributed Computing","135",,,"21","55",,,"10.1016/j.jpdc.2019.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072615079&doi=10.1016%2fj.jpdc.2019.09.005&partnerID=40&md5=7a1bd4a8eae47e264349c6a01fa162cf",Article,"Final",,Scopus,2-s2.0-85072615079
"Fahmideh, M., Zowghi, D.","57203435971;6602925723;","An exploration of IoT platform development",2020,"Information Systems","87",, 101409,"","",,,"10.1016/j.is.2019.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068902243&doi=10.1016%2fj.is.2019.06.005&partnerID=40&md5=1fd6c9da19be9e75f0c1f40167eb10af",Review,"Final",,Scopus,2-s2.0-85068902243
"He, Q.-C., Yang, Y., Bai, L., Zhang, B.","57211407834;57211717450;50861227300;56100683300;","Smart energy storage management via information systems design",2020,"Energy Economics","85",, 104542,"","",,,"10.1016/j.eneco.2019.104542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076004296&doi=10.1016%2fj.eneco.2019.104542&partnerID=40&md5=ead39ecdb12bdd36a2b3c19ceab01989",Article,"Final",,Scopus,2-s2.0-85076004296
"Al-Turjman, F., Zahmatkesh, H., Al-Oqily, I., Daboul, R.","20336944100;56541718800;21742081300;57211200304;","Optimized Unmanned Aerial Vehicles Deployment for Static and Mobile Targets’ Monitoring",2020,"Computer Communications","149",,,"27","35",,,"10.1016/j.comcom.2019.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072988715&doi=10.1016%2fj.comcom.2019.10.001&partnerID=40&md5=e06c3c54247afad59b6cfc48cab7e9c4",Article,"Final",,Scopus,2-s2.0-85072988715
"Rodríguez, L., Palanca, J., del Val, E., Rebollo, M.","57198933694;23392934000;32667500900;7006613165;","Analyzing urban mobility paths based on users’ activity in social networks",2020,"Future Generation Computer Systems","102",,,"333","346",,,"10.1016/j.future.2019.07.072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070804349&doi=10.1016%2fj.future.2019.07.072&partnerID=40&md5=382799ac70c8e720215233032486ece0",Article,"Final",,Scopus,2-s2.0-85070804349
"Rey-Moreno, M., Medina-Molina, C.","55637013400;57211346878;","Dual models and technological platforms for efficient management of water consumption",2020,"Technological Forecasting and Social Change","150",, 119761,"","",,,"10.1016/j.techfore.2019.119761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074276970&doi=10.1016%2fj.techfore.2019.119761&partnerID=40&md5=23e54c77c38c29b6057b8a6a9f128456",Article,"Final",,Scopus,2-s2.0-85074276970
"Wang, T., Liu, X., Han, C., Gan, D., Qian, H.J.","57206675608;57212229241;57212191495;57212196769;56915242300;","Beyond the Obstacles: An Adaptive Relay Transceiver",2020,"IEEE Microwave Magazine","21","1", 8915704,"101","108",,,"10.1109/MMM.2019.2945152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076138027&doi=10.1109%2fMMM.2019.2945152&partnerID=40&md5=b5a634ee25adfa5dac18152d9534d8d2",Article,"Final",,Scopus,2-s2.0-85076138027
"Hernández-Callejo, L., Gallardo-Saavedra, S., Diez-Cercadillo, A., Alonso-Gómez, V.","57203112514;57202389724;57207582380;36117795800;","Analysis of the influence of DC optimizers on photovoltaic production",2020,"Revista Facultad de Ingenieria",,"94",,"43","55",,,"10.17533/udea.redin.20190521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074040175&doi=10.17533%2fudea.redin.20190521&partnerID=40&md5=2b0e05e0dda5bc6190d894cf36c20cc2",Article,"Final",Open Access,Scopus,2-s2.0-85074040175
"Rasori, M., Perazzo, P., Dini, G.","57195943624;55322750300;7102635685;","A lightweight and scalable attribute-based encryption system for smart cities",2020,"Computer Communications","149",,,"78","89",,1,"10.1016/j.comcom.2019.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073151672&doi=10.1016%2fj.comcom.2019.10.005&partnerID=40&md5=74031823190d6b011442f9d48b0013fd",Article,"Final",,Scopus,2-s2.0-85073151672
"Kamran, M., Khan, H.U., Nisar, W., Farooq, M., Rehman, S.-U.","57194679209;56957655800;25931072200;57188808136;57208814117;","Blockchain and Internet of Things: A bibliometric study",2020,"Computers and Electrical Engineering","81",, 106525,"","",,,"10.1016/j.compeleceng.2019.106525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076024365&doi=10.1016%2fj.compeleceng.2019.106525&partnerID=40&md5=a599e7f0fcab36d0d48c32e559932424",Article,"Final",,Scopus,2-s2.0-85076024365
"Casado-Vara, R., Martin-del Rey, A., Affes, S., Prieto, J., Corchado, J.M.","57202513399;56264675400;57211157634;56269844200;7006360842;","IoT network slicing on virtual layers of homogeneous data for improved algorithm operation in smart buildings",2020,"Future Generation Computer Systems","102",,,"965","977",,,"10.1016/j.future.2019.09.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072823943&doi=10.1016%2fj.future.2019.09.042&partnerID=40&md5=6f8e1cf720b1772ff8b4abb3749eb8f9",Article,"Final",,Scopus,2-s2.0-85072823943
"Aljarah, M., Shurman, M., Alnabelsi, S.H.","57201736767;55772645300;36469649500;","Cooperative hierarchical based edge-computing approach for resources allocation of distributed mobile and IoT applications",2020,"International Journal of Electrical and Computer Engineering","10","1",,"296","307",,,"10.11591/ijece.v10i1.pp296-307","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073111882&doi=10.11591%2fijece.v10i1.pp296-307&partnerID=40&md5=9eaefaf9e726d8c99f3a8e9f47161971",Article,"Final",Open Access,Scopus,2-s2.0-85073111882
"Dawkins, L.C., Williamson, D.B., Barr, S.W., Lampkin, S.R.","56369749400;55233965300;7202693243;56668653200;","‘What drives commuter behaviour?': a Bayesian clustering approach for understanding opposing behaviours in social surveys",2020,"Journal of the Royal Statistical Society. Series A: Statistics in Society","183","1",,"251","280",,,"10.1111/rssa.12499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070972392&doi=10.1111%2frssa.12499&partnerID=40&md5=90d0b567ab5de3b31f747a30bc290680",Article,"Final",Open Access,Scopus,2-s2.0-85070972392
"Mistry, I., Tanwar, S., Tyagi, S., Kumar, N.","57211231691;56576145100;55549655700;57206866080;","Blockchain for 5G-enabled IoT for industrial automation: A systematic review, solutions, and challenges",2020,"Mechanical Systems and Signal Processing","135",, 106382,"","",,1,"10.1016/j.ymssp.2019.106382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073057701&doi=10.1016%2fj.ymssp.2019.106382&partnerID=40&md5=66f06bc0ee5b66ce50a91ba92bad075f",Article,"Final",,Scopus,2-s2.0-85073057701
"Zhou, S., Zou, F., Wu, Z., Gu, W., Hong, Q., Booth, C.","57202577108;57209617480;35191289100;57202086636;55569111400;7203045827;","A smart community energy management scheme considering user dominated demand side response and P2P trading",2020,"International Journal of Electrical Power and Energy Systems","114",, 105378,"","",,,"10.1016/j.ijepes.2019.105378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068257589&doi=10.1016%2fj.ijepes.2019.105378&partnerID=40&md5=8adf7d9eaab4e2d7b66217acd6e762cb",Article,"Final",,Scopus,2-s2.0-85068257589
"Changotra, R., Rajput, H., Guin, J.P., Khader, S.A., Dhir, A.","57195554040;56467955200;56900815200;36958714900;40461282800;","Techno-economical evaluation of coupling ionizing radiation and biological treatment process for the remediation of real pharmaceutical wastewater",2020,"Journal of Cleaner Production","242",, 118544,"","",,,"10.1016/j.jclepro.2019.118544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072605716&doi=10.1016%2fj.jclepro.2019.118544&partnerID=40&md5=0318fc58d88b460d5d483ee4e62d0592",Article,"Final",,Scopus,2-s2.0-85072605716
"Abdellaoui Alaoui, E.A., Zekkori, H., Agoujil, S.","57204093522;57202150939;26664347500;","Hybrid delay tolerant network routing protocol for heterogeneous networks",2019,"Journal of Network and Computer Applications","148",, 102456,"","",,,"10.1016/j.jnca.2019.102456","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073197857&doi=10.1016%2fj.jnca.2019.102456&partnerID=40&md5=edc728a790022e227670d7a4f8fed82e",Article,"Final",,Scopus,2-s2.0-85073197857
"Fabry, N., Blanchet, C.","13805826400;57210978391;","Monaco’s struggle to become a smart destination",2019,"International Journal of Tourism Cities","5","4",,"672","684",,,"10.1108/IJTC-02-2019-0034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072114410&doi=10.1108%2fIJTC-02-2019-0034&partnerID=40&md5=106fe5934ec568e713a23ddebc7df058",Article,"Final",,Scopus,2-s2.0-85072114410
"Chan, C.S., Peters, M., Pikkemaat, B.","55968440800;57190076350;14033113100;","Investigating visitors’ perception of smart city dimensions for city branding in Hong Kong",2019,"International Journal of Tourism Cities","5","4",,"620","638",,,"10.1108/IJTC-07-2019-0101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074998303&doi=10.1108%2fIJTC-07-2019-0101&partnerID=40&md5=27361cdcc027a02fb2c0fd3d17a7fe9d",Article,"Final",,Scopus,2-s2.0-85074998303
"Trinchini, L., Kolodii, N.A., Goncharova, N.A., Baggio, R.","57211579925;57211577449;57204024891;23476323900;","Creativity, innovation and smartness in destination branding",2019,"International Journal of Tourism Cities","5","4",,"529","543",,,"10.1108/IJTC-08-2019-0116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074539928&doi=10.1108%2fIJTC-08-2019-0116&partnerID=40&md5=671d3f53049087cbc7a5b723fee23690",Article,"Final",,Scopus,2-s2.0-85074539928
"Gretzel, U., Collier de Mendonça, M.","6506950250;57211856404;","Smart destination brands: semiotic analysis of visual and verbal signs",2019,"International Journal of Tourism Cities","5","4",,"560","580",,,"10.1108/IJTC-09-2019-0159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075154450&doi=10.1108%2fIJTC-09-2019-0159&partnerID=40&md5=12b60477533edcdc9a8e5c6551525bb4",Article,"Final",,Scopus,2-s2.0-85075154450
